Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-03-29;90.0;90.0;90.0;90.0;1350.0
2022-04-04;90.78;90.78;90.78;90.78;1361.7
2022-04-05;91.44;91.44;91.44;91.44;4572.0
2022-04-11;92.44;92.44;92.44;92.44;462.2
2022-04-12;92.23;92.23;91.87;92.0;9843.81
2022-04-20;92.2;92.2;91.97;92.04;82737.99
2022-04-25;91.19;91.19;91.19;91.19;1641.42
2022-04-27;91.66;91.66;91.66;91.66;1649.88
2022-05-02;91.68;91.68;91.68;91.68;458.4
2022-08-12;93.37;93.37;93.37;93.37;12511.58
2022-09-15;93.71;93.71;93.71;93.71;93.71
2022-10-17;92.92;92.92;92.92;92.92;92.92
2022-11-15;88.82;88.82;88.82;88.82;88.82
2022-12-15;87.73;87.73;87.73;87.73;87.73
2023-01-16;89.35;89.64;89.35;89.64;8942.83
2023-01-17;88.71;88.71;88.71;88.71;88.71
2023-01-26;87.85;87.85;87.85;87.85;6413.05
2023-02-15;89.13;89.13;89.13;89.13;89.13
2023-02-24;88.94;88.94;88.94;88.94;3112.9
2023-03-16;89.61;89.61;89.61;89.61;89.61
2023-04-17;87.3;87.3;87.3;87.3;87.3
2023-05-02;87.75;87.75;87.75;87.75;175.5
2023-05-15;87.82;87.82;87.82;87.82;87.82
2023-06-15;86.02;86.02;86.02;86.02;86.02
2023-06-19;85.14;85.14;85.14;85.14;3405.6
2023-07-05;84.46;84.46;84.46;84.46;844.6
2023-07-17;83.08;83.08;83.08;83.08;83.08
2023-07-19;82.46;82.46;82.46;82.46;8246.0
2023-07-28;85.12;85.12;85.12;85.12;85.12
2023-08-10;84.27;84.27;84.27;84.27;168.54
2023-09-15;86.57;86.57;86.57;86.57;86.57
2023-10-16;87.21;87.21;87.21;87.21;87.21
2023-11-15;85.68;85.68;85.68;85.68;85.68
2023-12-05;86.83;86.83;86.83;86.83;260.49
2023-12-15;86.75;86.75;86.75;86.75;86.75
2024-01-16;86.93;86.93;86.93;86.93;86.93
2024-01-22;86.8;86.8;86.8;86.8;173.6
2024-01-26;87.68;87.68;87.68;87.68;87.68
2024-02-20;88.75;88.75;88.56;88.56;4429.9
2024-04-29;89.28;89.73;89.28;89.73;358.47
2024-04-30;89.34;89.34;89.26;89.26;178.6
2024-05-03;89.41;89.41;89.41;89.41;89.41
2024-07-17;88.92;88.92;88.71;88.71;1082918.99
2024-10-01;91.31;91.31;91.12;91.12;222445.36
2024-10-07;91.45;91.45;91.45;91.45;13626.05
2024-10-08;91.49;91.49;91.49;91.49;103841.15
2024-10-09;91.56;91.56;91.56;91.56;104744.64
2024-10-16;91.92;91.92;91.92;91.92;9192.0
2024-10-21;92.42;92.42;92.42;92.42;2957.44
2024-10-25;92.47;92.47;92.47;92.47;4623.5
2024-11-13;93.31;93.31;93.31;93.31;933.1
2024-12-27;96.29;96.29;96.29;96.29;2888.7
2025-01-07;96.22;96.22;96.22;96.22;481.1
2025-01-27;96.18;96.18;96.18;96.18;4809.0
2025-01-28;96.8;96.8;96.8;96.8;105415.2
2025-02-07;97.32;97.32;97.32;97.32;5839.2
2025-02-28;95.77;95.77;95.77;95.77;5746.2
2025-04-11;88.62;88.62;87.72;87.72;528.12
2025-04-14;88.07;88.07;88.06;88.06;155613.89
2025-05-02;89.32;89.36;89.21;89.21;333131.91
2025-05-05;89.64;89.64;89.64;89.64;105506.28
2025-09-23;87.28;87.28;87.21;87.25;463811.92
2025-09-25;87.58;87.58;87.58;87.58;105271.16
